ds,yhat,yhat_lower,yhat_upper
2020-06-01,327.4498514972103,326.3805408901313,328.56136743127433
2020-06-02,327.6298331734593,326.60121022525277,328.7832303217478
2020-06-03,326.5312489180928,325.44654800517804,327.5581430324069
2020-06-04,326.21979530146024,325.2393086166977,327.3258584707304
2020-06-05,324.0216823970414,322.93573753199524,325.10431123586676
2020-06-06,324.6449995266002,323.57358782619144,325.59237709135226
2020-06-07,327.85310823179697,326.78262592727515,328.8997074810723
2020-06-08,328.6528988572301,327.5673496684605,329.6992349129455
2020-06-09,331.10609563968256,329.9621027200629,332.32424800384547
2020-06-10,334.0263341925412,332.95521011968384,335.10888325122505
2020-06-11,337.8196994640085,336.7939712741886,338.8920972460984
2020-06-12,338.62084890014125,337.51518040373725,339.63698437832375
2020-06-13,338.51628142701617,337.39008550200924,339.4717824830844
2020-06-14,339.3064064122532,338.1696271310296,340.35836241875217
2020-06-15,338.95104039874366,337.7857135265391,340.03795151793383
2020-06-16,341.0561180284368,340.0016890973098,342.14026321462524
2020-06-17,342.0732477141847,340.9264400400678,343.11994885178456
2020-06-18,341.39390542002906,340.2432264457861,342.5249926220848
2020-06-19,341.608424898258,340.57692119644327,342.6810152881978
2020-06-20,343.2218137556008,342.11595035073213,344.38098954054004
2020-06-21,342.96077933064385,341.87451734551536,344.06667793975316
2020-06-22,341.4767348268205,340.3948196796845,342.4870916406758
2020-06-23,341.6070107119301,340.5776493903446,342.61761797623006
2020-06-24,341.1450656255362,340.07076660092747,342.2142099660469
2020-06-25,341.62866872477093,340.5462369700548,342.77236066015024
2020-06-26,342.47743512403616,341.54075975460216,343.57499315320746
2020-06-27,342.3815582132437,341.43331823929896,343.3805802298867
2020-06-28,341.887711502887,340.7429529458343,342.97622389902676
2020-06-29,341.1344156599214,340.1089572251134,342.3531869261624
2020-06-30,340.56720802352623,339.4505778070861,341.569094499816
2020-07-01,340.41772229332196,339.4060617883245,341.4927354867957
2020-07-02,339.765032725822,338.7422449519827,340.777448219324
2020-07-03,338.73448208228297,337.57615889376353,339.8031932996467
2020-07-04,338.48100752942304,337.3868165830546,339.53081976810046
2020-07-05,337.45291184302357,336.3918681983667,338.5520452729173
2020-07-06,334.6335473711907,333.4724405263647,335.6439606906268
2020-07-07,335.65220010925725,334.5530537076575,336.8541179448593
2020-07-08,335.1357711384312,334.0274667405833,336.2076241331123
