ds,yhat,yhat_lower,yhat_upper
2020-06-01,210.34946449457925,208.70349372463588,211.92805944708772
2020-06-02,210.5455672799093,208.89881969137707,212.31116158932033
2020-06-03,211.4526524593013,209.7528112267277,213.15344779991014
2020-06-04,212.058084638845,210.3856047882204,213.76861580864286
2020-06-05,213.91831614927548,212.24004533946194,215.7669603950139
2020-06-06,212.75801299306377,211.05042180809582,214.40610478523027
2020-06-07,210.36363415301588,208.55805609327965,212.06269968183418
2020-06-08,210.0169880988651,208.30214600428016,211.6463971374922
2020-06-09,206.4081493986675,204.71791465096655,208.24273891277483
2020-06-10,203.54869345601284,201.8278449980426,205.37203202842974
2020-06-11,200.5083100795345,198.8662505006561,202.11488129195521
2020-06-12,199.64212259088944,197.8413490720512,201.3658904043896
2020-06-13,199.5737744068405,197.95176273066585,201.32123618912112
2020-06-14,198.39892777290626,196.6777356374959,200.10797774545702
2020-06-15,198.76370502612247,196.98355922492476,200.58906890929924
2020-06-16,197.36282739026308,195.74715267487505,198.87924407918294
2020-06-17,196.23969538044378,194.50915400312462,198.09992107218773
2020-06-18,195.92835026256472,194.21366750059553,197.59373640393045
2020-06-19,196.1018322803719,194.35159852089546,197.77843999495565
2020-06-20,195.5181929826424,193.9346948740239,197.12156562788374
2020-06-21,195.21267687231094,193.5800502744522,196.68079803626435
2020-06-22,196.12023146565653,194.51835841807258,197.64960694063555
2020-06-23,196.18647973294622,194.6191000056203,197.97640218963352
2020-06-24,197.06272311917883,195.46903748870457,198.85932697255424
2020-06-25,196.63195243946592,194.95486120564775,198.22505092869508
2020-06-26,195.33722251029727,193.42769612676992,196.90434980463377
2020-06-27,195.3311501182249,193.65854381785067,196.96451181163053
2020-06-28,196.29555016359848,194.51716668175382,197.9714731533805
2020-06-29,196.98390242024334,195.34840246366448,198.55986141354165
2020-06-30,197.23435735337517,195.6225955540116,198.92370255395895
2020-07-01,197.76287187199262,195.93744094078082,199.35048149247515
2020-07-02,198.38641428117734,196.72901354726068,200.43725109878721
2020-07-03,198.96967490822732,197.444198918994,200.90752841190414
2020-07-04,199.49544899136998,197.71107648120577,201.14084453403999
2020-07-05,200.69699835569554,199.15891741985018,202.48135882495416
2020-07-06,203.2956176417235,201.5400479104973,205.0731626434214
2020-07-07,202.3472012068746,200.5075891901522,204.0346229414621
2020-07-08,202.98529534510354,201.21067824204277,204.69916141468497
2020-07-09,203.058932866493,201.32447403750317,204.8933496308071
2020-07-10,201.59412000047007,199.87986660174067,203.42965022678587
2020-07-11,201.23236115720277,199.4091549049776,202.84831207006067
2020-07-12,200.26799372259785,198.606451671188,201.89725022677334
2020-07-13,200.10795081491665,198.35581698739648,201.72353912804766
2020-07-14,196.68699566235043,194.94584993123527,198.37182459349918
2020-07-15,194.58595334037963,192.87596759875925,196.17682152783087
2020-07-16,195.7897415081441,193.99663011862395,197.36697802140765
2020-07-17,196.21884958071092,194.65047096288498,197.97883672798974
2020-07-18,196.64075628475413,195.08049782412354,198.2100264867118
2020-07-19,196.93154131684614,195.15252602479876,198.60494781893976
2020-07-20,198.53736329739692,196.90719424094345,199.95529540488826
2020-07-21,199.30212753832345,197.7160319650439,200.9143540150613
2020-07-22,200.07838552913785,198.4953162947856,201.7659636153151
2020-07-23,200.19983158161912,198.24050767289134,201.82523699458682
2020-07-24,200.3525423137794,198.68956200770882,202.1462591180764
2020-07-25,201.79232793894232,200.19946074980322,203.62160934318248
2020-07-26,202.25292402104986,200.61286567383524,203.85928427824146
2020-07-27,202.25567083946308,200.65094076778087,203.94470413192133
2020-07-28,201.8500103973219,200.04549204077156,203.49539348577488
2020-07-29,201.38982759211984,199.74225532696815,203.26148877697304
2020-07-30,202.76529675826743,201.0660811826625,204.5732896738194
2020-07-31,203.80971496643716,202.1922749705594,205.67397730381128
2020-08-01,203.77676755018356,202.18448177243775,205.53471627325314
2020-08-02,202.92005461094118,201.3834037556808,204.48940651491483
2020-08-03,203.51134288009922,201.94435285886064,205.22355754523787
2020-08-04,204.08373668321082,202.46433955741279,205.81904937732943
2020-08-05,205.43408419807815,203.66395302287756,207.15090628587976
2020-08-06,205.06935241111736,203.3204092637214,206.66489670131307
2020-08-07,202.9343936735249,201.2705155478098,204.62428277070006
2020-08-08,204.26147808538312,202.60860503874747,205.8856178773316
2020-08-09,204.44168770129696,202.6051276553209,206.07699341555377
2020-08-10,205.78923962208046,204.055497081911,207.4982607592992
2020-08-11,205.87941725323523,204.208411064016,207.8430845684985
2020-08-12,205.82833440231784,204.13408195417497,207.67459864424958
2020-08-13,206.00554926554068,204.50335222051083,207.7679289316095
2020-08-14,203.7574850022834,202.12823998054716,205.55514718462456
2020-08-15,205.04145882723353,203.38599073538458,206.71236377890995
2020-08-16,207.19877231672703,205.42996225944563,208.90635506633978
2020-08-17,209.14939408080912,207.43649878882937,210.94078185618562
2020-08-18,209.35375007731304,207.59515579902666,210.9646060426274
2020-08-19,208.13969186169277,206.4082971980648,209.85327428094914
2020-08-20,207.73484318571815,206.09487165257926,209.4628549006962
2020-08-21,206.80971255047857,205.12832999297612,208.4534449616766
2020-08-22,206.22965696292817,204.6142244685103,208.15747241860268
2020-08-23,204.1800707419661,202.4527457327039,205.73202505004278
2020-08-24,203.31378186621095,201.6512962196966,205.04691871385089
2020-08-25,203.36489853132525,201.7110207078051,205.02428651277782
2020-08-26,204.35841075945692,202.62755408207283,206.05761849366317
2020-08-27,207.76660994604956,206.0142531016039,209.34871418777712
2020-08-28,209.43731313243458,207.71951346062806,211.20965170144277
2020-08-29,210.2998783898837,208.70836116289072,212.021370901659
2020-08-30,211.79010504018623,210.2358058812738,213.21516807277453
2020-08-31,213.26651198931864,211.55949882178294,215.16805973601387
2020-09-01,213.20397532755038,211.42684920078062,214.87210162141403
2020-09-02,211.54054186335313,209.98065790308635,213.12195840079136
2020-09-03,211.0092494164031,209.31471335349138,212.67276061082808
2020-09-04,210.41889867619415,208.6954327714887,211.9119464538401
2020-09-05,211.60383401200755,209.86226010004876,213.297362606887
2020-09-06,210.19360162442953,208.50954125089484,211.75387715364872
2020-09-07,210.5869708216499,208.5526687911895,212.27788355654204
2020-09-08,210.27561246389536,208.63783577397325,211.9565810863383
2020-09-09,207.66105230022683,205.8947118020524,209.3471666793893
2020-09-10,207.05787993097653,205.37048244896926,208.74818341621665
2020-09-11,205.628676816962,204.03138748835042,207.29276934570993
2020-09-12,207.07073370627884,205.44378875716347,208.67980856057645
2020-09-13,206.87330753227437,205.1777853078344,208.4147087304144
2020-09-14,206.41151764441864,204.77816415329488,208.00121096150397
2020-09-15,206.73281325179136,204.96236380181776,208.41391294565167
2020-09-16,205.4271678865539,203.90406125710436,207.09718833246956
2020-09-17,206.21383553811535,204.60212222905363,207.99877870014828
2020-09-18,205.75242592145358,203.99528131586027,207.40333153927662
2020-09-19,205.57014898213677,203.81499450869813,207.37890003396473
2020-09-20,204.69933307579547,202.92784899940952,206.6350708868591
2020-09-21,204.8684107767744,203.2975335339216,206.56898780346265
2020-09-22,205.5135632044746,203.8633054448639,207.26453716607116
2020-09-23,205.70627670903787,204.12292768369426,207.53280487548113
2020-09-24,207.17570904172348,205.47616446870808,208.86596415207185
2020-09-25,206.19076230026747,204.48245588768188,207.7950711185537
2020-09-26,206.07158858674617,204.38121035376395,207.6919380231897
2020-09-27,206.98138558835078,205.20832482310286,208.6338230878095
2020-09-28,206.54353948082576,204.79255022486035,208.19288820687675
2020-09-29,205.64745594640843,203.84279604846174,207.45021979008192
2020-09-30,203.2769476568847,201.74946569361376,204.859203264421
2020-10-01,201.02848048906569,199.54562150645532,202.63775112165843
2020-10-02,195.64792959714498,194.0026935015917,197.20238046630433
2020-10-03,189.89969301983376,188.23317103497902,191.7029427281211
2020-10-04,184.5069577440292,182.89048611070214,186.31568721976703
2020-10-05,182.1832717514061,180.37005712615345,184.0315903854996
2020-10-06,181.16743239468778,179.5478174924455,182.9628063642845
2020-10-07,179.80465625749747,178.1653369815868,181.63316052586356
2020-10-08,183.2106117210639,181.4890208780851,184.86611873425622
2020-10-09,184.77687071560993,183.13199936181428,186.48919965535717
2020-10-10,189.3110104696248,187.59995543536994,190.89498908251815
2020-10-11,194.8190775692462,193.02529020512904,196.55394272371086
2020-10-12,199.7909709069106,198.13259496686504,201.33588140154103
2020-10-13,202.79876787266016,201.2298404331968,204.35898313796176
2020-10-14,200.85409013656397,199.14772877440834,202.59283781821247
2020-10-15,201.4178959124302,199.79457419604756,203.07191422346403
2020-10-16,199.53739570091864,197.71533892503072,201.29266570958697
2020-10-17,196.46254546353313,194.65135907570203,198.14397357449224
2020-10-18,193.14525230345112,191.34951617728555,194.84892102932346
2020-10-19,190.32312037642575,188.55951969421076,192.0199513043008
2020-10-20,189.48542625276815,187.8523384005234,191.10858789686122
2020-10-21,188.41840092452622,186.7649545652442,189.88054092875876
2020-10-22,189.89955133963093,188.2321801600451,191.80083697697688
2020-10-23,190.69602606349045,189.01316863849155,192.2316321216419
2020-10-24,194.21594702436997,192.43182561336943,195.9591824059758
2020-10-25,198.24664172028923,196.56225552084533,200.0721025680589
2020-10-26,199.80583179052834,198.27313729112507,201.50367216448274
2020-10-27,200.4901998258245,198.81896293171027,201.97697313031418
2020-10-28,198.3778306749879,196.6482479661219,200.02556813163102
2020-10-29,197.1890069961755,195.46516475681364,198.78826130877184
2020-10-30,195.39795678820363,193.7592495749012,197.03965279460314
2020-10-31,193.36083689754898,191.7950275195132,195.1853117218989
2020-11-01,191.20008310524884,189.44991184568073,192.64455589473008
2020-11-02,189.36500656859437,187.67761038605602,190.9796072862446
2020-11-03,190.2599989709952,188.62845881819422,191.8423532875591
2020-11-04,191.47835749597647,189.89445866575568,193.01270525193212
